10.0.4.10,10.0.6.10,6,39106,57546,s4-eth1,s4-eth4
10.0.6.10,10.0.4.10,6,57546,39106,s6-eth1,s6-eth3
10.0.4.10,10.0.3.10,6,46168,57543,s4-eth1,s4-eth4
10.0.5.10,10.0.4.10,6,56794,57154,s5-eth1,s5-eth3
10.0.1.10,10.0.6.10,6,57372,57516,s1-eth1,s1-eth4
10.0.3.10,10.0.4.10,6,57543,46168,s3-eth1,s3-eth4
10.0.4.10,10.0.6.10,6,39118,57546,s4-eth1,s4-eth4
10.0.6.10,10.0.1.10,6,57516,57372,s6-eth1,s6-eth3
10.0.2.10,10.0.4.10,6,55686,57924,s2-eth1,s2-eth4
10.0.5.10,10.0.8.10,6,43952,57258,s5-eth1,s5-eth3
10.0.1.10,10.0.6.10,6,57386,57516,s1-eth1,s1-eth4
10.0.8.10,10.0.3.10,6,52612,57183,s8-eth1,s8-eth3
10.0.6.10,10.0.2.10,6,40114,57062,s6-eth1,s6-eth3
10.0.4.10,10.0.5.10,6,57154,56794,s4-eth1,s4-eth4
10.0.2.10,10.0.6.10,6,57062,40114,s2-eth1,s2-eth4
10.0.1.10,10.0.2.10,6,34362,57112,s1-eth1,s1-eth4
10.0.3.10,10.0.8.10,6,57183,52612,s3-eth1,s3-eth4
10.0.6.10,10.0.4.10,6,57546,39118,s6-eth1,s6-eth3
10.0.8.10,10.0.5.10,6,57258,43952,s8-eth1,s8-eth3
10.0.4.10,10.0.3.10,6,46174,57543,s4-eth1,s4-eth4
10.0.2.10,10.0.5.10,6,42222,57625,s2-eth1,s2-eth4
10.0.5.10,10.0.4.10,6,39364,57154,s5-eth1,s5-eth3
10.0.3.10,10.0.7.10,6,44204,57337,s3-eth1,s3-eth4
10.0.4.10,10.0.2.10,6,57924,55686,s4-eth1,s4-eth4
10.0.8.10,10.0.3.10,6,54178,57183,s8-eth1,s8-eth3
10.0.7.10,10.0.3.10,6,57337,44204,s7-eth1,s7-eth3
10.0.6.10,10.0.1.10,6,57516,57386,s6-eth1,s6-eth3
10.0.2.10,10.0.1.10,6,57112,34362,s2-eth1,s2-eth4
10.0.4.10,10.0.5.10,6,50768,57445,s4-eth1,s4-eth4
10.0.3.10,10.0.4.10,6,57543,46174,s3-eth1,s3-eth4
10.0.5.10,10.0.8.10,6,44676,57258,s5-eth1,s5-eth3
10.0.1.10,10.0.4.10,6,45316,57314,s1-eth1,s1-eth4
10.0.8.10,10.0.5.10,6,57258,44676,s8-eth1,s8-eth3
10.0.7.10,10.0.4.10,6,52336,57174,s7-eth1,s7-eth3
10.0.6.10,10.0.7.10,6,58270,57267,s6-eth1,s6-eth3
10.0.2.10,10.0.1.10,6,53206,57221,s2-eth1,s2-eth4
10.0.3.10,10.0.8.10,6,57183,54178,s3-eth1,s3-eth4
10.0.5.10,10.0.2.10,6,57625,42222,s5-eth1,s5-eth3
10.0.1.10,10.0.7.10,6,35556,57817,s1-eth1,s1-eth4
10.0.4.10,10.0.5.10,6,57154,39364,s4-eth1,s4-eth4
10.0.2.10,10.0.3.10,6,34400,57923,s2-eth1,s2-eth4
10.0.6.10,10.0.2.10,6,53376,57062,s6-eth1,s6-eth3
10.0.7.10,10.0.2.10,6,56406,57272,s7-eth1,s7-eth3
10.0.5.10,10.0.8.10,6,35464,57858,s5-eth1,s5-eth3
10.0.1.10,10.0.2.10,6,59940,57912,s1-eth1,s1-eth4
10.0.3.10,10.0.7.10,6,48996,57337,s3-eth1,s3-eth4
10.0.2.10,10.0.5.10,6,55310,57325,s2-eth1,s2-eth4
10.0.8.10,10.0.3.10,6,50140,57083,s8-eth1,s8-eth3
10.0.4.10,10.0.7.10,6,40416,57647,s4-eth1,s4-eth4
10.0.6.10,10.0.3.10,6,38738,57463,s6-eth1,s6-eth3
10.0.7.10,10.0.8.10,6,50888,57878,s7-eth1,s7-eth3
