Series;Time;Value
VIC-IX;2018-09-04-14:00:00;36745569317.86064
VIC-IX;2018-09-04-14:05:00;36393841286.21074
VIC-IX;2018-09-04-14:10:00;35886190573.38351
VIC-IX;2018-09-04-14:15:00;35669904268.06329
VIC-IX;2018-09-04-14:20:00;35773901249.90968
VIC-IX;2018-09-04-14:25:00;35758373248.3814
VIC-IX;2018-09-04-14:30:00;36035794172.62718
VIC-IX;2018-09-04-14:35:00;36284022641.703255
VIC-IX;2018-09-04-14:40:00;36172913129.586044
VIC-IX;2018-09-04-14:45:00;35939160674.187164
VIC-IX;2018-09-04-14:50:00;35554964095.2511
VIC-IX;2018-09-04-14:55:00;34863112597.27815
VIC-IX;2018-09-04-15:00:00;34053542820.80509
VIC-IX;2018-09-04-15:05:00;33464231783.430035
VIC-IX;2018-09-04-15:10:00;32374017550.761375
VIC-IX;2018-09-04-15:15:00;31269724003.651978
VIC-IX;2018-09-04-15:20:00;30381983648.69767
VIC-IX;2018-09-04-15:25:00;29952732396.552757
VIC-IX;2018-09-04-15:30:00;29555204326.013073
VIC-IX;2018-09-04-15:35:00;29624283515.713013
VIC-IX;2018-09-04-15:40:00;29693394436.55848
VIC-IX;2018-09-04-15:45:00;29924788743.070915
VIC-IX;2018-09-04-15:50:00;30311109821.88499
VIC-IX;2018-09-04-15:55:00;31220607338.448578
VIC-IX;2018-09-04-16:00:00;31726009569.440285
VIC-IX;2018-09-04-16:05:00;32072073445.711475
VIC-IX;2018-09-04-16:10:00;32235240775.810925
VIC-IX;2018-09-04-16:15:00;32599354982.747772
VIC-IX;2018-09-04-16:20:00;32580976317.52182
VIC-IX;2018-09-04-16:25:00;32767354784.345665
VIC-IX;2018-09-04-16:30:00;33167300587.838745
VIC-IX;2018-09-04-16:35:00;33785886311.54534
VIC-IX;2018-09-04-16:40:00;33848622923.84249
VIC-IX;2018-09-04-16:45:00;33803506069.692757
VIC-IX;2018-09-04-16:50:00;33968225263.61263
VIC-IX;2018-09-04-16:55:00;34283664693.512047
VIC-IX;2018-09-04-17:00:00;34450123563.786224
VIC-IX;2018-09-04-17:05:00;34947266097.93302
VIC-IX;2018-09-04-17:10:00;35565519094.23866
VIC-IX;2018-09-04-17:15:00;36264497500.376305
VIC-IX;2018-09-04-17:20:00;36974432807.29388
VIC-IX;2018-09-04-17:25:00;37494147395.37563
VIC-IX;2018-09-04-17:30:00;37836799107.45592
VIC-IX;2018-09-04-17:35:00;38297078319.54691
VIC-IX;2018-09-04-17:40:00;38681542184.767235
VIC-IX;2018-09-04-17:45:00;39069380506.97339
VIC-IX;2018-09-04-17:50:00;39581266359.89942
VIC-IX;2018-09-04-17:55:00;40111137480.19112
VIC-IX;2018-09-04-18:00:00;40768126168.97627
VIC-IX;2018-09-04-18:05:00;41532187499.970726
VIC-IX;2018-09-04-18:10:00;42259202846.33054
VIC-IX;2018-09-04-18:15:00;43066117677.36381
VIC-IX;2018-09-04-18:20:00;43875965362.32146
VIC-IX;2018-09-04-18:25:00;44586907657.344315
VIC-IX;2018-09-04-18:30:00;45137581990.54319
VIC-IX;2018-09-04-18:35:00;45734736757.742516
VIC-IX;2018-09-04-18:40:00;46316151003.86623
VIC-IX;2018-09-04-18:45:00;47071438884.92725
VIC-IX;2018-09-04-18:50:00;47664931961.84682
VIC-IX;2018-09-04-18:55:00;48365366722.74734
VIC-IX;2018-09-04-19:00:00;49342900045.311005
VIC-IX;2018-09-04-19:05:00;50479950930.812805
VIC-IX;2018-09-04-19:10:00;51401502568.96748
VIC-IX;2018-09-04-19:15:00;52394882298.00032
VIC-IX;2018-09-04-19:20:00;53584759353.5547
VIC-IX;2018-09-04-19:25:00;54486216814.68538
VIC-IX;2018-09-04-19:30:00;55166481516.92184
VIC-IX;2018-09-04-19:35:00;56059611853.999245
VIC-IX;2018-09-04-19:40:00;57075687061.91422
VIC-IX;2018-09-04-19:45:00;57882679100.62477
VIC-IX;2018-09-04-19:50:00;58733408030.13206
VIC-IX;2018-09-04-19:55:00;59702900717.034325
VIC-IX;2018-09-04-20:00:00;60503095569.756996
VIC-IX;2018-09-04-20:05:00;61442804287.9656
VIC-IX;2018-09-04-20:10:00;62319715241.68191
VIC-IX;2018-09-04-20:15:00;63152375182.74648
VIC-IX;2018-09-04-20:20:00;63902983279.99469
VIC-IX;2018-09-04-20:25:00;64604556896.83346
VIC-IX;2018-09-04-20:30:00;65243607384.8563
VIC-IX;2018-09-04-20:35:00;65871146876.70217
VIC-IX;2018-09-04-20:40:00;66710667561.1031
VIC-IX;2018-09-04-20:45:00;67220296024.85954
VIC-IX;2018-09-04-20:50:00;67983220195.6853
VIC-IX;2018-09-04-20:55:00;68734984076.80295
VIC-IX;2018-09-04-21:00:00;69542878259.9235
VIC-IX;2018-09-04-21:05:00;70094884541.62572
VIC-IX;2018-09-04-21:10:00;70663501970.50009
VIC-IX;2018-09-04-21:15:00;70700388360.04968
VIC-IX;2018-09-04-21:20:00;70415248274.3447
VIC-IX;2018-09-04-21:25:00;69809498503.80026
VIC-IX;2018-09-04-21:30:00;69192005619.55356
VIC-IX;2018-09-04-21:35:00;68659113021.54093
VIC-IX;2018-09-04-21:40:00;68388033670.55682
VIC-IX;2018-09-04-21:45:00;68203697093.169044
VIC-IX;2018-09-04-21:50:00;68277780401.23381
VIC-IX;2018-09-04-21:55:00;68302553390.54065
VIC-IX;2018-09-04-22:00:00;68641076011.766136
VIC-IX;2018-09-04-22:05:00;68906773497.42374
VIC-IX;2018-09-04-22:10:00;69074760367.34949
VIC-IX;2018-09-04-22:15:00;69131405711.67822
VIC-IX;2018-09-04-22:20:00;69177053230.67477
VIC-IX;2018-09-04-22:25:00;69106763059.9615
VIC-IX;2018-09-04-22:30:00;69144110628.16553
VIC-IX;2018-09-04-22:35:00;69590108963.84624
VIC-IX;2018-09-04-22:40:00;69997468518.55399
VIC-IX;2018-09-04-22:45:00;70377272217.311
VIC-IX;2018-09-04-22:50:00;70706452883.72389
VIC-IX;2018-09-04-22:55:00;71011889636.31664
VIC-IX;2018-09-04-23:00:00;71050690145.07
VIC-IX;2018-09-04-23:05:00;71485436873.11142
VIC-IX;2018-09-04-23:10:00;72177447981.15237
VIC-IX;2018-09-04-23:15:00;72766476774.40283
VIC-IX;2018-09-04-23:20:00;73458161916.49326
VIC-IX;2018-09-04-23:25:00;73687204720.21896
VIC-IX;2018-09-04-23:30:00;73839066920.31953
VIC-IX;2018-09-04-23:35:00;73948151179.51883
VIC-IX;2018-09-04-23:40:00;73966574078.41359
VIC-IX;2018-09-04-23:45:00;74064836707.32028
VIC-IX;2018-09-04-23:50:00;74464606008.24214
VIC-IX;2018-09-04-23:55:00;74368402946.2984
VIC-IX;2018-09-05-00:00:00;73848406760.94106
VIC-IX;2018-09-05-00:05:00;73743633025.25322
VIC-IX;2018-09-05-00:10:00;73489564557.60526
VIC-IX;2018-09-05-00:15:00;73194877392.18065
VIC-IX;2018-09-05-00:20:00;73279210658.04523
VIC-IX;2018-09-05-00:25:00;73629343317.75046
VIC-IX;2018-09-05-00:30:00;73700945079.14793
VIC-IX;2018-09-05-00:35:00;73830955685.38986
VIC-IX;2018-09-05-00:40:00;74136037220.51054
VIC-IX;2018-09-05-00:45:00;74536083147.33003
VIC-IX;2018-09-05-00:50:00;74866449534.07373
VIC-IX;2018-09-05-00:55:00;75209789994.56973
VIC-IX;2018-09-05-01:00:00;75131102727.37627
VIC-IX;2018-09-05-01:05:00;74982964154.2658
VIC-IX;2018-09-05-01:10:00;74776042770.83154
VIC-IX;2018-09-05-01:15:00;74789810687.48576
VIC-IX;2018-09-05-01:20:00;74836484530.94254
VIC-IX;2018-09-05-01:25:00;75152542727.04428
VIC-IX;2018-09-05-01:30:00;75500848934.43509
VIC-IX;2018-09-05-01:35:00;75838154396.09827
VIC-IX;2018-09-05-01:40:00;75911677659.70909
VIC-IX;2018-09-05-01:45:00;75738641482.46608
VIC-IX;2018-09-05-01:50:00;75678145332.49033
VIC-IX;2018-09-05-01:55:00;75414157120.92236
VIC-IX;2018-09-05-02:00:00;74990141521.692
VIC-IX;2018-09-05-02:05:00;74629335903.53464
VIC-IX;2018-09-05-02:10:00;74569774476.08208
VIC-IX;2018-09-05-02:15:00;74237711480.62175
VIC-IX;2018-09-05-02:20:00;74075354728.2295
VIC-IX;2018-09-05-02:25:00;73998005787.57312
VIC-IX;2018-09-05-02:30:00;74622624600.73238
VIC-IX;2018-09-05-02:35:00;75386167609.19818
VIC-IX;2018-09-05-02:40:00;76197901081.05899
VIC-IX;2018-09-05-02:45:00;77374039891.11333
VIC-IX;2018-09-05-02:50:00;78917975260.8642
VIC-IX;2018-09-05-02:55:00;79348791620.00793
VIC-IX;2018-09-05-03:00:00;79746266428.07979
VIC-IX;2018-09-05-03:05:00;80520526417.70706
VIC-IX;2018-09-05-03:10:00;80778197468.84895
VIC-IX;2018-09-05-03:15:00;81178185661.35796
VIC-IX;2018-09-05-03:20:00;82037080872.31169
VIC-IX;2018-09-05-03:25:00;82840007961.37845
VIC-IX;2018-09-05-03:30:00;83664103596.31563
VIC-IX;2018-09-05-03:35:00;84759717298.88274
VIC-IX;2018-09-05-03:40:00;84853959281.3269
VIC-IX;2018-09-05-03:45:00;85454470849.73499
VIC-IX;2018-09-05-03:50:00;84777747904.06073
VIC-IX;2018-09-05-03:55:00;84411751239.45085
VIC-IX;2018-09-05-04:00:00;84140694686.03111
VIC-IX;2018-09-05-04:05:00;84281695333.18033
VIC-IX;2018-09-05-04:10:00;83866700286.76695
VIC-IX;2018-09-05-04:15:00;84627539976.89088
VIC-IX;2018-09-05-04:20:00;84842331320.99979
VIC-IX;2018-09-05-04:25:00;84688237700.74402
VIC-IX;2018-09-05-04:30:00;84842687453.5474
VIC-IX;2018-09-05-04:35:00;84674906854.57114
VIC-IX;2018-09-05-04:40:00;84475368365.05252
VIC-IX;2018-09-05-04:45:00;84370116235.60558
VIC-IX;2018-09-05-04:50:00;84220842832.51372
VIC-IX;2018-09-05-04:55:00;83738086862.7778
VIC-IX;2018-09-05-05:00:00;83996774571.482
VIC-IX;2018-09-05-05:05:00;84256920673.69739
VIC-IX;2018-09-05-05:10:00;84516652424.16037
VIC-IX;2018-09-05-05:15:00;84872523841.25528
VIC-IX;2018-09-05-05:20:00;85979607828.92436
VIC-IX;2018-09-05-05:25:00;87029285605.8913
VIC-IX;2018-09-05-05:30:00;88191037440.39203
VIC-IX;2018-09-05-05:35:00;89315187834.02739
VIC-IX;2018-09-05-05:40:00;89989525759.74004
VIC-IX;2018-09-05-05:45:00;89767981165.89525
VIC-IX;2018-09-05-05:50:00;89320194591.74371
VIC-IX;2018-09-05-05:55:00;88961658687.76738
VIC-IX;2018-09-05-06:00:00;89157979698.04465
VIC-IX;2018-09-05-06:05:00;90255369990.9567
VIC-IX;2018-09-05-06:10:00;91732351903.52754
VIC-IX;2018-09-05-06:15:00;93314402763.43413
VIC-IX;2018-09-05-06:20:00;94605358702.6711
VIC-IX;2018-09-05-06:25:00;95267713589.12997
VIC-IX;2018-09-05-06:30:00;95844925742.30693
VIC-IX;2018-09-05-06:35:00;96218053688.90222
VIC-IX;2018-09-05-06:40:00;96435473948.8279
VIC-IX;2018-09-05-06:45:00;96876102934.7608
VIC-IX;2018-09-05-06:50:00;96852202469.57085
VIC-IX;2018-09-05-06:55:00;96421134996.85527
VIC-IX;2018-09-05-07:00:00;96816920469.06918
VIC-IX;2018-09-05-07:05:00;97624362699.02762
VIC-IX;2018-09-05-07:10:00;98517749883.52643
VIC-IX;2018-09-05-07:15:00;100214886821.52417
VIC-IX;2018-09-05-07:20:00;101954706563.70297
VIC-IX;2018-09-05-07:25:00;103110456391.9624
VIC-IX;2018-09-05-07:30:00;103968972520.36658
VIC-IX;2018-09-05-07:35:00;104528634998.0544
VIC-IX;2018-09-05-07:40:00;104615917126.89902
VIC-IX;2018-09-05-07:45:00;104513627247.0559
VIC-IX;2018-09-05-07:50:00;104441372961.53987
VIC-IX;2018-09-05-07:55:00;104168865537.23293
VIC-IX;2018-09-05-08:00:00;104197772602.97458
VIC-IX;2018-09-05-08:05:00;104510935127.67801
VIC-IX;2018-09-05-08:10:00;105247589843.43156
VIC-IX;2018-09-05-08:15:00;105515687524.899
VIC-IX;2018-09-05-08:20:00;105955119236.00833
VIC-IX;2018-09-05-08:25:00;106065902295.87068
VIC-IX;2018-09-05-08:30:00;105557362251.63335
VIC-IX;2018-09-05-08:35:00;104178451520.1177
VIC-IX;2018-09-05-08:40:00;103082020784.54996
VIC-IX;2018-09-05-08:45:00;101781938418.41415
VIC-IX;2018-09-05-08:50:00;100260456602.35825
VIC-IX;2018-09-05-08:55:00;99182413290.43082
VIC-IX;2018-09-05-09:00:00;98997818035.3394
VIC-IX;2018-09-05-09:05:00;98347863397.00473
VIC-IX;2018-09-05-09:10:00;97564584854.10796
VIC-IX;2018-09-05-09:15:00;96946011673.14131
VIC-IX;2018-09-05-09:20:00;95818625537.77357
VIC-IX;2018-09-05-09:25:00;93774990041.02043
VIC-IX;2018-09-05-09:30:00;91784445206.16411
VIC-IX;2018-09-05-09:35:00;89869810353.3184
VIC-IX;2018-09-05-09:40:00;87624173006.53134
VIC-IX;2018-09-05-09:45:00;85472290679.30118
VIC-IX;2018-09-05-09:50:00;83907407019.91646
VIC-IX;2018-09-05-09:55:00;82394018482.67883
VIC-IX;2018-09-05-10:00:00;80613619423.49219
VIC-IX;2018-09-05-10:05:00;79541496812.46745
VIC-IX;2018-09-05-10:10:00;78696167749.36594
VIC-IX;2018-09-05-10:15:00;77236312062.14265
VIC-IX;2018-09-05-10:20:00;75507427475.23552
VIC-IX;2018-09-05-10:25:00;73903908691.90942
VIC-IX;2018-09-05-10:30:00;72170232288.03127
VIC-IX;2018-09-05-10:35:00;70117005080.16394
VIC-IX;2018-09-05-10:40:00;68259235995.21023
VIC-IX;2018-09-05-10:45:00;66538010071.62152
VIC-IX;2018-09-05-10:50:00;64585957674.349
VIC-IX;2018-09-05-10:55:00;62225658401.02319
VIC-IX;2018-09-05-11:00:00;60340264305.28341
VIC-IX;2018-09-05-11:05:00;58892986708.39281
VIC-IX;2018-09-05-11:10:00;57523960486.76332
VIC-IX;2018-09-05-11:15:00;56426664914.06095
VIC-IX;2018-09-05-11:20:00;55405716117.48079
VIC-IX;2018-09-05-11:25:00;54195199672.397385
VIC-IX;2018-09-05-11:30:00;52606780515.99309
VIC-IX;2018-09-05-11:35:00;51148016089.14059
VIC-IX;2018-09-05-11:40:00;49666944445.56465
VIC-IX;2018-09-05-11:45:00;48126706632.02343
VIC-IX;2018-09-05-11:50:00;46492657523.21665
VIC-IX;2018-09-05-11:55:00;45189012903.78795
VIC-IX;2018-09-05-12:00:00;44034815333.10491
VIC-IX;2018-09-05-12:05:00;42980986060.221634
VIC-IX;2018-09-05-12:10:00;42023358502.17785
VIC-IX;2018-09-05-12:15:00;41020435594.35004
VIC-IX;2018-09-05-12:20:00;40114448399.11454
VIC-IX;2018-09-05-12:25:00;39149566713.25676
VIC-IX;2018-09-05-12:30:00;38243072155.1768
VIC-IX;2018-09-05-12:35:00;37360629380.34426
VIC-IX;2018-09-05-12:40:00;36700529402.28725
VIC-IX;2018-09-05-12:45:00;35937820698.01555
VIC-IX;2018-09-05-12:50:00;35103263441.50833
VIC-IX;2018-09-05-12:55:00;34351754267.164265
VIC-IX;2018-09-05-13:00:00;33999079623.60852
VIC-IX;2018-09-05-13:05:00;33604072126.897743
VIC-IX;2018-09-05-13:10:00;33552933740.253166
VIC-IX;2018-09-05-13:15:00;33608643103.266987
VIC-IX;2018-09-05-13:20:00;33843620052.81542
VIC-IX;2018-09-05-13:25:00;33817753134.758667
VIC-IX;2018-09-05-13:30:00;34168390145.44945
VIC-IX;2018-09-05-13:35:00;34442226140.186356
VIC-IX;2018-09-05-13:40:00;34797834074.4986
VIC-IX;2018-09-05-13:45:00;34589974460.20127
VIC-IX;2018-09-05-13:50:00;34748430149.09248
VIC-IX;2018-09-05-13:55:00;33945643551.26412
VIC-IX;2018-09-05-14:00:00;33521269336.47289
VIC-IX;2018-09-05-14:05:00;32908539615.013817
VIC-IX;2018-09-05-14:10:00;32658435971.82021
VIC-IX;2018-09-05-14:15:00;32127510694.82542
VIC-IX;2018-09-05-14:20:00;32018905073.412464
VIC-IX;2018-09-05-14:25:00;31602836134.35502
VIC-IX;2018-09-05-14:30:00;31578181548.225822
VIC-IX;2018-09-05-14:35:00;31579783851.98996
VIC-IX;2018-09-05-14:40:00;31445040063.64208
VIC-IX;2018-09-05-14:45:00;31599419698.86781
VIC-IX;2018-09-05-14:50:00;31646371154.237946
VIC-IX;2018-09-05-14:55:00;31328260906.51878
VIC-IX;2018-09-05-15:00:00;31102947235.853283
VIC-IX;2018-09-05-15:05:00;30750594347.339985
VIC-IX;2018-09-05-15:10:00;30167877733.18371
VIC-IX;2018-09-05-15:15:00;29622095426.041466
VIC-IX;2018-09-05-15:20:00;29225820955.99043
VIC-IX;2018-09-05-15:25:00;28686275886.16513
VIC-IX;2018-09-05-15:30:00;28478079813.853344
VIC-IX;2018-09-05-15:35:00;28617386230.713024
VIC-IX;2018-09-05-15:40:00;28609418809.189117
VIC-IX;2018-09-05-15:45:00;28814646745.85896
VIC-IX;2018-09-05-15:50:00;29287149134.965473
VIC-IX;2018-09-05-15:55:00;29535670752.05007
VIC-IX;2018-09-05-16:00:00;29844244482.675304
VIC-IX;2018-09-05-16:05:00;30077874833.336937
VIC-IX;2018-09-05-16:10:00;30149268110.19111
VIC-IX;2018-09-05-16:15:00;30073019686.018513
VIC-IX;2018-09-05-16:20:00;30079973475.671703
VIC-IX;2018-09-05-16:25:00;29991672134.168842
VIC-IX;2018-09-05-16:30:00;30156505687.33542
VIC-IX;2018-09-05-16:35:00;30496683196.029015
VIC-IX;2018-09-05-16:40:00;30643251277.253857
VIC-IX;2018-09-05-16:45:00;30608257714.89967
VIC-IX;2018-09-05-16:50:00;30550156958.586315
VIC-IX;2018-09-05-16:55:00;30482783362.254993
VIC-IX;2018-09-05-17:00:00;30472028724.155815
VIC-IX;2018-09-05-17:05:00;30667856845.38564
VIC-IX;2018-09-05-17:10:00;31070604518.98609
VIC-IX;2018-09-05-17:15:00;31564681205.565746
VIC-IX;2018-09-05-17:20:00;32001587146.880745
VIC-IX;2018-09-05-17:25:00;32236474831.366497
VIC-IX;2018-09-05-17:30:00;32438181478.178497
VIC-IX;2018-09-05-17:35:00;32730760477.963715
VIC-IX;2018-09-05-17:40:00;33145020902.62386
VIC-IX;2018-09-05-17:45:00;33622749125.092957
VIC-IX;2018-09-05-17:50:00;34203983583.36244
VIC-IX;2018-09-05-17:55:00;35000517545.718346
VIC-IX;2018-09-05-18:00:00;35890629640.0411
VIC-IX;2018-09-05-18:05:00;36889294135.67763
VIC-IX;2018-09-05-18:10:00;37838169301.37799
VIC-IX;2018-09-05-18:15:00;38861336314.37331
VIC-IX;2018-09-05-18:20:00;39830834416.62804
VIC-IX;2018-09-05-18:25:00;40708874686.86321
VIC-IX;2018-09-05-18:30:00;41731477472.35506
VIC-IX;2018-09-05-18:35:00;42871364558.363434
VIC-IX;2018-09-05-18:40:00;43953446838.69064
VIC-IX;2018-09-05-18:45:00;44893048499.581535
VIC-IX;2018-09-05-18:50:00;45921077180.07223
VIC-IX;2018-09-05-18:55:00;46605287651.84646
VIC-IX;2018-09-05-19:00:00;47535433178.090416
VIC-IX;2018-09-05-19:05:00;48472056289.7693
VIC-IX;2018-09-05-19:10:00;49644411094.975914
VIC-IX;2018-09-05-19:15:00;50713533331.76139
VIC-IX;2018-09-05-19:20:00;51834039881.29391
VIC-IX;2018-09-05-19:25:00;52571977929.6782
VIC-IX;2018-09-05-19:30:00;53268590482.17828
VIC-IX;2018-09-05-19:35:00;54012432283.91203
VIC-IX;2018-09-05-19:40:00;54692328993.93276
VIC-IX;2018-09-05-19:45:00;55308606874.58118
VIC-IX;2018-09-05-19:50:00;56035100915.4153
VIC-IX;2018-09-05-19:55:00;56991103228.62791
VIC-IX;2018-09-05-20:00:00;57605971821.77328
VIC-IX;2018-09-05-20:05:00;58343772268.99873
VIC-IX;2018-09-05-20:10:00;58853698621.95662
VIC-IX;2018-09-05-20:15:00;59332647942.28483
VIC-IX;2018-09-05-20:20:00;59807385293.31366
VIC-IX;2018-09-05-20:25:00;60653264993.82316
VIC-IX;2018-09-05-20:30:00;61670773044.61299
VIC-IX;2018-09-05-20:35:00;63007230236.03727
VIC-IX;2018-09-05-20:40:00;64005973823.52256
VIC-IX;2018-09-05-20:45:00;64463808347.80983
VIC-IX;2018-09-05-20:50:00;64661104212.68247
VIC-IX;2018-09-05-20:55:00;64710314672.69987
VIC-IX;2018-09-05-21:00:00;64623184890.85405
VIC-IX;2018-09-05-21:05:00;65000767167.60295
VIC-IX;2018-09-05-21:10:00;65536696790.47522
VIC-IX;2018-09-05-21:15:00;65914479544.11046
VIC-IX;2018-09-05-21:20:00;66397811878.37904
VIC-IX;2018-09-05-21:25:00;66970432059.89203
VIC-IX;2018-09-05-21:30:00;67287759508.30945
VIC-IX;2018-09-05-21:35:00;67878759039.48485
VIC-IX;2018-09-05-21:40:00;68461860324.80442
VIC-IX;2018-09-05-21:45:00;68930028382.36337
VIC-IX;2018-09-05-21:50:00;69052868770.36523
VIC-IX;2018-09-05-21:55:00;69126875712.90756
VIC-IX;2018-09-05-22:00:00;69101015031.94693
VIC-IX;2018-09-05-22:05:00;69129753695.71825
VIC-IX;2018-09-05-22:10:00;68973584014.568
VIC-IX;2018-09-05-22:15:00;68988120566.2753
VIC-IX;2018-09-05-22:20:00;69093463566.02365
VIC-IX;2018-09-05-22:25:00;69010895742.73201
VIC-IX;2018-09-05-22:30:00;69028550761.21733
VIC-IX;2018-09-05-22:35:00;69036460524.61377
VIC-IX;2018-09-05-22:40:00;69269602823.87619
VIC-IX;2018-09-05-22:45:00;69490067269.51982
VIC-IX;2018-09-05-22:50:00;69972365956.3084
VIC-IX;2018-09-05-22:55:00;70366112619.81903
VIC-IX;2018-09-05-23:00:00;70642758444.8881
VIC-IX;2018-09-05-23:05:00;71045995805.26149
VIC-IX;2018-09-05-23:10:00;71371305662.27747
VIC-IX;2018-09-05-23:15:00;71731611579.77371
VIC-IX;2018-09-05-23:20:00;72106600288.44449
VIC-IX;2018-09-05-23:25:00;72638972661.60764
VIC-IX;2018-09-05-23:30:00;72924678089.53757
VIC-IX;2018-09-05-23:35:00;73144624047.83061
VIC-IX;2018-09-05-23:40:00;73011190698.95618
VIC-IX;2018-09-05-23:45:00;73234680305.01231
VIC-IX;2018-09-05-23:50:00;73479320599.49837
VIC-IX;2018-09-05-23:55:00;73761061583.01663
VIC-IX;2018-09-06-00:00:00;73932278386.2717
VIC-IX;2018-09-06-00:05:00;73978968367.72151
VIC-IX;2018-09-06-00:10:00;73722963796.78067
VIC-IX;2018-09-06-00:15:00;73861575395.63742
VIC-IX;2018-09-06-00:20:00;73876342441.15152
VIC-IX;2018-09-06-00:25:00;74135576985.10378
VIC-IX;2018-09-06-00:30:00;74524375045.87044
VIC-IX;2018-09-06-00:35:00;75011723926.302
VIC-IX;2018-09-06-00:40:00;75199359979.63947
VIC-IX;2018-09-06-00:45:00;75481849340.22472
VIC-IX;2018-09-06-00:50:00;76024025635.98065
VIC-IX;2018-09-06-00:55:00;76916441277.89261
VIC-IX;2018-09-06-01:00:00;76961939415.47449
VIC-IX;2018-09-06-01:05:00;76785817501.88991
VIC-IX;2018-09-06-01:10:00;76659123587.8682
VIC-IX;2018-09-06-01:15:00;76510920484.91727
VIC-IX;2018-09-06-01:20:00;76211295462.6192
VIC-IX;2018-09-06-01:25:00;76310883502.87024
VIC-IX;2018-09-06-01:30:00;76134594625.97081
VIC-IX;2018-09-06-01:35:00;75786584877.76797
VIC-IX;2018-09-06-01:40:00;75375056828.27254
VIC-IX;2018-09-06-01:45:00;74706437297.38416
VIC-IX;2018-09-06-01:50:00;74262674702.31296
VIC-IX;2018-09-06-01:55:00;74384598357.57895
VIC-IX;2018-09-06-02:00:00;74334285858.61575
VIC-IX;2018-09-06-02:05:00;74026831722.54643
VIC-IX;2018-09-06-02:10:00;74095873430.63086
VIC-IX;2018-09-06-02:15:00;73950968953.3886
VIC-IX;2018-09-06-02:20:00;73452274215.73192
VIC-IX;2018-09-06-02:25:00;73222669961.2109
VIC-IX;2018-09-06-02:30:00;73378475525.1423
VIC-IX;2018-09-06-02:35:00;73696486746.07124
VIC-IX;2018-09-06-02:40:00;74177496683.85791
VIC-IX;2018-09-06-02:45:00;74727476355.33386
VIC-IX;2018-09-06-02:50:00;75572574939.88547
VIC-IX;2018-09-06-02:55:00;76202094414.65576
VIC-IX;2018-09-06-03:00:00;76750392423.44995
VIC-IX;2018-09-06-03:05:00;77674464716.99887
VIC-IX;2018-09-06-03:10:00;78919289395.0468
VIC-IX;2018-09-06-03:15:00;79744089200.03699
VIC-IX;2018-09-06-03:20:00;80535416399.17317
VIC-IX;2018-09-06-03:25:00;81146899631.75888
VIC-IX;2018-09-06-03:30:00;81596406292.87015
VIC-IX;2018-09-06-03:35:00;82056038996.5502
VIC-IX;2018-09-06-03:40:00;82733098571.8206
VIC-IX;2018-09-06-03:45:00;83431364872.12437
VIC-IX;2018-09-06-03:50:00;83969549702.0366
VIC-IX;2018-09-06-03:55:00;84667493805.49536
VIC-IX;2018-09-06-04:00:00;85104900433.49602
VIC-IX;2018-09-06-04:05:00;85328264804.80713
VIC-IX;2018-09-06-04:10:00;85452282560.25203
VIC-IX;2018-09-06-04:15:00;85813322954.6
VIC-IX;2018-09-06-04:20:00;85933288707.03433
VIC-IX;2018-09-06-04:25:00;85737729016.97932
VIC-IX;2018-09-06-04:30:00;85676467706.02779
VIC-IX;2018-09-06-04:35:00;85598979419.63118
VIC-IX;2018-09-06-04:40:00;85332160578.00282
VIC-IX;2018-09-06-04:45:00;85256763633.69777
VIC-IX;2018-09-06-04:50:00;85738023046.4147
VIC-IX;2018-09-06-04:55:00;85871597744.28886
VIC-IX;2018-09-06-05:00:00;86015150511.05835
VIC-IX;2018-09-06-05:05:00;85771680187.88069
VIC-IX;2018-09-06-05:10:00;85668064064.97578
VIC-IX;2018-09-06-05:15:00;85263723475.60794
VIC-IX;2018-09-06-05:20:00;85200436883.03918
VIC-IX;2018-09-06-05:25:00;85256652256.16296
VIC-IX;2018-09-06-05:30:00;85748883963.244
VIC-IX;2018-09-06-05:35:00;85976964670.67105
VIC-IX;2018-09-06-05:40:00;85777699798.62048
VIC-IX;2018-09-06-05:45:00;85265419650.06717
VIC-IX;2018-09-06-05:50:00;84759837541.03098
VIC-IX;2018-09-06-05:55:00;84617615610.2649
VIC-IX;2018-09-06-06:00:00;84389262896.57353
VIC-IX;2018-09-06-06:05:00;85180108944.08676
VIC-IX;2018-09-06-06:10:00;86126700129.51959
VIC-IX;2018-09-06-06:15:00;87473354557.02115
VIC-IX;2018-09-06-06:20:00;88507028155.5568
VIC-IX;2018-09-06-06:25:00;89554547647.44296
VIC-IX;2018-09-06-06:30:00;90477003408.85896
VIC-IX;2018-09-06-06:35:00;91295777095.00752
VIC-IX;2018-09-06-06:40:00;91439476777.83015
VIC-IX;2018-09-06-06:45:00;91612180924.14035
VIC-IX;2018-09-06-06:50:00;91884983183.60532
VIC-IX;2018-09-06-06:55:00;91634114365.9013
VIC-IX;2018-09-06-07:00:00;89611669857.5344
VIC-IX;2018-09-06-07:05:00;89837071538.53348
VIC-IX;2018-09-06-07:10:00;90017316608.70284
VIC-IX;2018-09-06-07:15:00;90381838983.24303
VIC-IX;2018-09-06-07:20:00;90633367508.07426
VIC-IX;2018-09-06-07:25:00;93012192672.74126
VIC-IX;2018-09-06-07:30:00;93430123103.41493
VIC-IX;2018-09-06-07:35:00;93936289855.91382
